anchor_id,chip_id,grid_id,region_key,source_feature_id,centroid_lon,centroid_lat,source_area_m2,area_bucket,zone,zone_source,sample_stage,b0_bridge,selection_hash,legacy_group_anchor_id,source_grid,target_index,target_label,target_offset_x_m,target_offset_y_m,search_radius_m,chip_half_m,chip_size_m,chip_lon_min,chip_lat_min,chip_lon_max,chip_lat_max
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00029107,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00029107,JNB0214,johannesburg,29106,28.1102156148,-26.2090893755,106.399,d_lg_ge100,residential,residential_fallback,stage1_core,False,0db5bc1ce72afe007c8e11f37064d72cef76a6f21fe5400b19b8bc3eaa736777,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0004358,JNB0214,1,T01,0.0,0.0,10.0,48.0,96.0,28.109739333967813,-26.209526422680497,28.11069189207579,-26.20865232682961
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00029369,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00029369,JNB0229,johannesburg,29368,28.0161188237,-26.2190488864,22.7597,b_sm_15_40,cbd,cbd25_spatial_crosswalk,stage1_core,False,0da629189c77f8b985f69a22af882314fb788a169149b5fa5f7d91064a541e4d,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0003955,JNB0229,1,T01,0.0,0.0,10.0,48.0,96.0,28.015642140471915,-26.219485633118335,28.01659550336939,-26.218612138179054
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00030667,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00030667,JNB0264,johannesburg,30666,28.1312979559,-26.230719581,87.639,c_md_40_100,industrial,osm_industrial_share_ge_0.03,stage1_core,False,0f91c34b85c8425f7d7051a79d50db25ba5072eb7b2b959de37a015a7e53f817,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0003667,JNB0264,1,T01,0.0,0.0,10.0,48.0,96.0,28.13082167175151,-26.231156697051905,28.13177423648815,-26.23028246345939
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00033709,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00033709,JNB0315,johannesburg,33708,27.9763584874,-26.2532197984,4.5903,a_xs_lt15,industrial,osm_industrial_share_ge_0.03,stage1_core,False,0cd4f1d6554343a40cff10d49837a2c4d041b1b79b13a712c637cfed5878dbe5,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0002290,JNB0315,1,T01,0.0,0.0,10.0,48.0,96.0,27.975881516005174,-26.2536564193794,27.976835455229562,-26.252783175910505
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00034084,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00034084,JNB0320,johannesburg,34083,28.0238259111,-26.2557100994,29.5037,b_sm_15_40,industrial,osm_industrial_share_ge_0.03,stage1_core,False,07556fabe5471efea0bee7d09033f001971525ddd4d5ed74b1c5fa511cc55144,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0002108,JNB0320,1,T01,0.0,0.0,10.0,48.0,96.0,28.023349112971896,-26.256146873045417,28.024302705662592,-26.2552733242504
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00034290,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00034290,JNB0326,johannesburg,34289,28.0821477309,-26.2532499317,6.7185,a_xs_lt15,residential,residential_fallback,stage1_core,True,1a87273841c3af4618309f6cb30156e9e6d5eccd2b3155f2e71dceca9a18b6a1,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0002245,JNB0326,1,T01,0.0,0.0,10.0,48.0,96.0,28.08167116790313,-26.253686892176347,28.082624290332085,-26.252812969727092
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00034888,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00034888,JNB0335,johannesburg,34887,27.9876764321,-26.2701707039,71.5056,c_md_40_100,residential,residential_fallback,stage1_core,False,00b6dda3943315d81143f0b31c67cdff372ceaa3990b93ba61a6a81c83e4373d,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0001231,JNB0335,1,T01,0.0,0.0,10.0,48.0,96.0,27.987199437281962,-26.27060736222284,27.98815342334965,-26.26973404406733
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00038325,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00038325,JNB0374,johannesburg,38324,28.0553805157,-26.2877180099,12.2072,a_xs_lt15,residential,residential_fallback,stage1_core,False,009c506c8a18cb91708143c9a3ad10b272eda161d1abcff80d12d24e59f78ca8,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0000021,JNB0374,1,T01,0.0,0.0,10.0,48.0,96.0,28.05490371316169,-26.288154886825183,28.05585731466694,-26.287281131472422
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00040858,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00040858,JNB0023,johannesburg,40857,28.0648845691,-26.1234406299,18.4918,b_sm_15_40,residential,residential_fallback,stage1_core,False,00d7502ecbd3d4b2fed9b495cbf0493c79a6ac6621257e8648419dfc07959974,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0014831,JNB0023,1,T01,0.0,0.0,10.0,48.0,96.0,28.06440844912043,-26.123877526587947,28.065360685538934,-26.123003731722385
jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00041296,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_t00041296,JNB0025,johannesburg,41295,28.0807428183,-26.1235176579,16.2296,b_sm_15_40,industrial,osm_industrial_share_ge_0.03,stage1_core,True,ac0047f6de587620d412c498badba840bede22bc40bb2d8c3e32798702ba2ae1,jhb_full382_unified_a_merge01_c0925_fpcut_2026_06_01_c0014844,JNB0025,1,T01,0.0,0.0,10.0,48.0,96.0,28.08026675902037,-26.123954605149613,28.081218874039056,-26.123080709162725
